"CBSA","CBSA Code","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days SO2","Days PM2.5","Days PM10"
"Scottsbluff, NE","42420",2013,89,87,2,0,0,0,0,56,40,20,0,0,0,0,89,0
"Scranton--Wilkes-Barre--Hazleton, PA","42540",2013,365,271,92,2,0,0,0,108,64,42,0,10,226,0,128,1
"Seattle-Tacoma-Bellevue, WA","42660",2013,365,192,165,8,0,0,0,149,79,50,0,0,109,0,256,0
"Sebastian-Vero Beach, FL","42680",2013,330,302,28,0,0,0,0,93,50,37,0,0,330,0,0,0
"Sebring, FL","42700",2013,360,336,24,0,0,0,0,84,47,31,0,0,360,0,0,0
"Seneca, SC","42860",2013,320,319,1,0,0,0,0,67,41,1,0,0,145,175,0,0
"Sevierville, TN","42940",2013,364,299,65,0,0,0,0,100,58,44,0,0,364,0,0,0
"Seymour, IN","42980",2013,183,158,24,1,0,0,0,105,58,43,0,0,183,0,0,0
"Shawnee, OK","43060",2013,230,203,26,1,0,0,0,126,58,39,0,0,230,0,0,0
"Sheboygan, WI","43100",2013,187,125,52,10,0,0,0,140,87,43,0,0,187,0,0,0
"Shelton, WA","43220",2013,336,271,65,0,0,0,0,75,57,25,0,0,0,0,336,0
"Sheridan, WY","43260",2013,365,338,27,0,0,0,0,77,49,39,0,0,246,0,46,73
"Show Low, AZ","43320",2013,365,246,119,0,0,0,0,100,74,46,0,0,351,0,0,14
"Shreveport-Bossier City, LA","43340",2013,365,246,115,4,0,0,0,119,68,44,0,0,196,0,169,0
"Sierra Vista-Douglas, AZ","43420",2013,365,219,139,7,0,0,0,149,77,48,0,0,286,0,12,67
"Silver City, NM","43500",2013,360,346,14,0,0,0,0,71,48,40,0,0,332,25,0,3
"Sioux City, IA-NE-SD","43580",2013,365,250,114,1,0,0,0,121,64,43,0,6,132,0,216,11
"Sioux Falls, SD","43620",2013,364,258,106,0,0,0,0,99,65,43,0,1,232,0,129,2
"Somerset, KY","43700",2013,285,252,33,0,0,0,0,80,51,40,0,0,207,0,78,0
"Somerset, PA","43740",2013,318,294,23,1,0,0,0,105,49,35,0,0,318,0,0,0
"Sonora, CA","43760",2013,364,284,78,2,0,0,0,119,64,43,0,0,364,0,0,0
"South Bend-Mishawaka, IN-MI","43780",2013,361,167,188,5,1,0,0,154,74,52,0,17,80,0,264,0
"Spartanburg, SC","43900",2013,356,262,93,1,0,0,0,105,59,41,0,0,132,0,224,0
"Spokane-Spokane Valley, WA","44060",2013,365,210,152,2,1,0,0,175,71,46,0,0,136,0,209,20
"Springfield, IL","44100",2013,365,326,39,0,0,0,0,100,51,35,0,0,365,0,0,0
"Springfield, MA","44140",2013,365,253,106,6,0,0,0,140,67,41,0,8,185,1,171,0
"Springfield, MO","44180",2013,365,278,87,0,0,0,0,97,58,41,0,0,157,32,175,1
"Springfield, OH","44220",2013,365,235,124,6,0,0,0,112,67,46,0,0,142,4,219,0
"St. Cloud, MN","41060",2013,359,312,47,0,0,0,0,83,55,36,0,0,192,0,167,0
"St. George, UT","41100",2013,365,276,87,2,0,0,0,112,67,44,0,0,357,0,8,0
"St. Joseph, MO-KS","41140",2013,360,208,149,3,0,0,0,115,70,47,0,0,111,0,244,5
"St. Louis, MO-IL","41180",2013,365,107,213,41,4,0,0,178,102,60,0,8,104,79,164,10
"St. Marys, PA","41260",2013,361,332,28,1,0,0,0,105,49,36,0,0,361,0,0,0
"State College, PA","44300",2013,365,278,85,2,0,0,0,112,62,42,0,2,230,1,132,0
"Steamboat Springs, CO","44460",2013,349,336,13,0,0,0,0,64,31,15,0,0,0,0,0,349
"Stockton-Lodi, CA","44700",2013,365,122,210,24,9,0,0,157,99,57,0,0,88,0,261,16
"Summerville, GA","44900",2013,244,233,11,0,0,0,0,77,46,37,0,0,244,0,0,0
"Syracuse, NY","45060",2013,365,338,27,0,0,0,0,93,48,34,0,0,341,0,24,0
"Tahlequah, OK","45140",2013,289,245,43,1,0,0,0,101,64,40,0,0,289,0,0,0
"Talladega-Sylacauga, AL","45180",2013,114,88,26,0,0,0,0,63,55,38,0,0,0,0,114,0
"Tallahassee, FL","45220",2013,365,296,66,2,0,1,0,222,58,38,0,0,221,0,144,0
"Tampa-St. Petersburg-Clearwater, FL","45300",2013,365,242,117,6,0,0,0,122,69,45,0,0,178,22,165,0
"Taos, NM","45340",2013,359,354,5,0,0,0,0,59,34,15,0,0,0,0,348,11
"Terre Haute, IN","45460",2013,365,179,171,15,0,0,0,135,81,51,0,0,90,68,207,0
"Texarkana, TX-AR","45500",2013,57,43,14,0,0,0,0,94,67,38,0,0,0,0,57,0
"The Dalles, OR","45520",2013,361,322,35,3,1,0,0,174,52,26,0,0,0,0,361,0
"Toledo, OH","45780",2013,365,251,113,1,0,0,0,108,62,43,0,0,123,6,236,0
"Topeka, KS","45820",2013,364,310,54,0,0,0,0,93,56,39,0,0,315,0,45,4
"Torrington, CT","45860",2013,365,285,77,3,0,0,0,150,59,41,0,1,243,1,120,0
"Traverse City, MI","45900",2013,183,140,42,1,0,0,0,119,71,40,0,0,183,0,0,0
"Trenton, NJ","45940",2013,365,242,120,3,0,0,0,122,68,43,0,0,222,0,143,0
"Truckee-Grass Valley, CA","46020",2013,362,207,134,21,0,0,0,140,91,48,0,0,337,0,25,0
"Tucson, AZ","46060",2013,365,208,149,5,0,2,1,312,80,49,0,3,269,0,25,68
"Tulsa, OK","46140",2013,365,185,169,11,0,0,0,136,79,50,0,0,176,25,164,0
